id,n_explotacion,cuenta,superficie,superficie_bpa,tecnificacion,sistematizacion_con_terrazas,rotacion_gramineas_y_cultivos_de_servicios,pasturas_implantadas,participacion_grupos_asociativos,nutricion_de_suelos,manejo_cultivos_intensivos,certificaciones,capacitacion,ag_tech,plan_pecuario,manejo_ganaderia_integrada,indic_agro,gestion_de_riesgo,eje_persona,eje_planeta,eje_prosperidad,total
bpa2019.5994,1,300604204520,123.83,123.83,si,,,si,si,,,,,,si,,,,si,si,si,4
bpa2019.5995,campo 1,240603753691,96.24,90,,,,si,si,,,,si,,,,si,,si,si,no,4
bpa2019.5996,Issoglio Orlando,250301476562,33.45,33,,,si,,si,si,,,si,,,,,,si,si,no,4
bpa2019.5997,PILAR,270623507294,73,73,,,si,,si,si,,,,si,,,,,si,si,si,4
bpa2019.5998,IPEQ,170225551238,0,0,,,,si,,,,,si,,si,,si,,si,si,no,4
bpa2019.5999,LA PONDEROSA,250801277949,15.38,15.38,,,si,si,si,,,,si,,,,,,si,si,no,4
bpa2019.6000,GIGLI,190324754583,3.77,3.77,si,,si,,si,,,,,,si,,,,si,si,si,4
bpa2019.6001,SAN ANTONIO,220102435958,27.56,27.56,,,si,si,si,,,,,,si,,,,si,si,no,4
bpa2019.6002,Issoglio Orlando,300502294907,120.01,120,,,si,,si,si,,,si,,,,,,si,si,no,4
bpa2019.6003,campo 1,330203165366,28.56,28.56,,,si,,si,si,,,si,,,,,,si,si,no,4
bpa2019.6420,Monte Chico,160528220760,153.48,153.48,si,,,si,si,,,,si,,,,,,si,si,si,4
bpa2019.6421,Posta Vieja,130400551261,84.95,84,si,si,si,,si,,,,,,,,,,si,si,si,4
bpa2019.6422,Barba de Tigre,360102102939,164.86,164.86,,,,si,si,,,,si,,si,,,,si,si,no,4
bpa2019.6423,Quinta Griguol Miguel,130202359893,2.69,2,,,,,si,si,si,,si,,,,,,si,si,si,4
bpa2019.6004,las Hortencias,170415071101,150,150,,,,,si,,,,si,,si,,si,,si,si,no,4
bpa2019.6005,Nestor Peretti,300127180907,65.31,65,,,,si,si,,,,si,,,,si,,si,si,no,4
bpa2019.6006,MOINE - Doña Ana,360409295718,302.1,300,,,si,,si,si,,,,,,,,si,si,si,si,4
bpa2019.6007,"GILARDI ADALBERTO, GILARDI ELIZABETH S.S",180406184721,305.07,305,,,si,si,,,,,si,,si,,,,si,si,no,4
bpa2019.6008,tabo/alamo,340524263012,76.32,57,,,,,si,si,,,si,,,,si,,si,si,no,4
bpa2019.6009,Bressan Rubén - Miloch Ana,240119302901,22.06,22.06,,,,,si,si,,,si,,,,si,,si,si,no,4
bpa2019.6010,AGUAS COLORADAS,270905963667,85.25,58,,,si,si,si,,,,si,,,,,,si,si,no,4
bpa2019.6011,La Teresita SRL,190200911818,232,232,,,si,,si,si,,,si,,,,,,si,si,no,4
bpa2019.6012,Campo Gallo,270802926518,8.33,8.33,si,,,,si,si,,,si,,,,,,si,si,si,4
bpa2019.6013,3,250601239007,160.29,160,,,si,si,,si,,,,,si,,,,no,si,no,4
bpa2019.6014,Establecimiento La argentina,180317782941,195.87,195.87,,,si,si,,si,,,si,,,,,,si,si,no,4
bpa2019.6015,""" La Amistad""",260205960301,174,50,,,si,si,,,,,si,,si,,,,si,si,no,4
bpa2019.6016,LA PUERTA,160140792524,34.5,34.5,,,,si,si,,,,si,,si,,,,si,si,no,4
bpa2019.6017,CAMPO ROMERO,240127390186,52.16,26,si,,,,si,,,,si,,si,,,,si,si,si,4
bpa2019.6018,Gassmann,190208128268,25,7.33,,,si,,si,si,,,si,,,,,,si,si,no,4
bpa2019.6019,Gassmann,190216829283,3.63,3.63,,,si,,si,si,,,si,,,,,,si,si,no,4
bpa2019.6020,LOPEZ,220215739678,70,5,si,,,,si,,,,si,,si,,,,si,si,si,4
bpa2019.6021,KISMER,220215739678,70,70,si,,,si,si,,,,,,si,,,,si,si,si,4
bpa2019.6022,campo colomba,330105248504,11.25,11.25,,,si,,si,si,,,si,,,,,,si,si,no,4
bpa2019.6023,UM1,220119794684,34.02,34,si,,,si,si,,,,,,si,,,,si,si,si,4
bpa2019.6024,DON BENITO Y NEREO,300401470305,42.49,42,,,si,si,,si,,,si,,,,,,si,si,no,4
bpa2019.6025,El Mangrullo s/n,280604144437,24,24,si,,,,si,,,,si,,si,,,,si,si,si,4
bpa2019.6026,La Lubeca,300627013331,222.57,222.57,,,,si,si,,,,si,,si,,,,si,si,no,4
bpa2019.6027,don juan,300625979025,87.39,87.39,,,,si,si,,,,si,,si,,,,si,si,no,4
bpa2019.6028,Casa,310402849184,30.38,30,,,si,,si,si,,,,,,,si,,si,si,no,4
bpa2019.6029,La Clotilde,220107524851,1552.65,1552,,,,si,si,si,,,si,,,,,,si,si,no,4
bpa2019.6030,Plaza Raúl,270240651251,102.33,102.33,si,,si,,si,si,,,,,,,,,si,si,si,4
bpa2019.6031,LAS GRAMILLAS,250403416815,194.75,170,,,,si,si,,,,si,,si,,,,si,si,no,4
bpa2019.6032,Puesto de Olmos,170504585860,27.67,27,,,,si,si,,,,si,,si,,,,si,si,no,4
bpa2019.6033,Ghiglione,360302300751,17.18,17.18,,,si,,si,si,,,si,,,,,,si,si,no,4
bpa2019.6034,La Teresita SRL,190100852971,100,100,,,si,,si,si,,,si,,,,,,si,si,no,4
bpa2019.6035,Carletti Hnos SA,330341791987,151.08,151.08,si,,si,si,,,,,,,si,,,,no,si,si,4
bpa2019.6036,San Antonio,220319424679,19.1,19,,,,si,si,,,,si,,si,,,,si,si,no,4
bpa2019.6037,San Bartolome,300601658449,100,100,si,,si,,si,,,,,si,,,,,si,si,si,4
bpa2019.6038,La Blanca,360541012024,630.12,480,si,,,si,,si,,,,si,,,,,no,si,si,4
bpa2019.6039,MORESCO,330419130460,562.91,165,si,,si,,si,,,,si,,,,,,si,si,si,4
bpa2019.6040,Ataraxia,360325725610,182.22,182,,,si,,si,si,,,,,si,,,,si,si,no,4
bpa2019.6041,ESTABLECIMIENTO DON EMILIO,330611748337,11.93,11.93,,si,si,,si,,,,,,si,,,,si,si,no,4
bpa2019.6042,Pascuini Angel Gerardo,240541599658,2.67,1.6,,,,,si,,si,,si,,,,si,,si,no,si,4
bpa2019.6043,Gonzalez,360302602197,49.44,49.44,,,,,si,si,,,si,,,,si,,si,si,no,4
